Country,Year,Emissions,Income
Colombia,1971,1.38,5760
Colombia,1972,1.4,6040
Colombia,1973,1.46,6280
Comoros,1963,0.0549,1390
Comoros,1964,0.054,1490
Comoros,1965,0.0707,1490
Comoros,1966,0.0867,1650
Comoros,1967,0.0849,1710
Comoros,1968,0.0831,1700
Comoros,1969,0.0814,1720
Comoros,1970,0.128,1830
Comoros,1971,0.125,1890
Comoros,1972,0.123,1920
Comoros,1973,0.12,2030
"Congo, Dem. Rep.",1963,0.139,2700
"Congo, Dem. Rep.",1964,0.117,2660
"Congo, Dem. Rep.",1965,0.142,2550
"Congo, Dem. Rep.",1966,0.135,2640
"Congo, Dem. Rep.",1967,0.125,2540
"Congo, Dem. Rep.",1968,0.178,2620
"Congo, Dem. Rep.",1969,0.188,2750
"Congo, Dem. Rep.",1970,0.136,2670
"Congo, Dem. Rep.",1971,0.144,2760
"Congo, Dem. Rep.",1972,0.143,2700
"Congo, Dem. Rep.",1973,0.147,2850
"Congo, Rep.",1963,0.214,2430
"Congo, Rep.",1964,0.238,2470
"Congo, Rep.",1965,0.213,2500
"Congo, Rep.",1966,0.26,2580
"Congo, Rep.",1967,0.265,2670
"Congo, Rep.",1968,0.36,2750
"Congo, Rep.",1969,0.39,2840
"Congo, Rep.",1970,0.431,2920
"Congo, Rep.",1971,0.502,3120
"Congo, Rep.",1972,0.472,3180
"Congo, Rep.",1973,0.843,3650
Costa Rica,1963,0.405,5480
Costa Rica,1964,0.438,5580
Costa Rica,1965,0.532,5920
Costa Rica,1966,0.604,6190
Costa Rica,1967,0.516,6390
Costa Rica,1968,0.593,6700
Costa Rica,1969,0.638,6970
Costa Rica,1970,0.676,7260
Costa Rica,1971,0.806,7550
Costa Rica,1972,0.907,8030
Costa Rica,1973,1.03,8450
Cote d'Ivoire,1963,0.159,2760
Cote d'Ivoire,1964,0.187,3130
Cote d'Ivoire,1965,0.278,2930
Cote d'Ivoire,1966,0.283,3020
Cote d'Ivoire,1967,0.299,2920
Cote d'Ivoire,1968,0.339,3210
Cote d'Ivoire,1969,0.386,3180
Cote d'Ivoire,1970,0.44,3350
Cote d'Ivoire,1971,0.461,3340
Cote d'Ivoire,1972,0.487,3360
Cote d'Ivoire,1973,0.493,3460
Croatia,1963,1.6,7040
Croatia,1964,1.8,7660
Croatia,1965,1.84,7840
Croatia,1966,1.82,8430
Croatia,1967,1.83,8740
Croatia,1968,1.95,9160
Croatia,1969,2.01,9900
Croatia,1970,2.62,10600
Croatia,1971,2.81,11600
Croatia,1972,2.63,11900
Croatia,1973,3.13,12500
Cuba,1963,1.71,3440
Cuba,1964,1.83,3670
Cuba,1965,1.84,3590
Cuba,1966,1.87,3700
Cuba,1967,1.91,4060
Cuba,1968,1.91,3750
Cuba,1969,2.02,3650
Cuba,1970,2.14,3460
Cuba,1971,2.21,3670
Cuba,1972,2.3,3780
Cuba,1973,2.44,4050
Cyprus,1963,1.71,5350
Cyprus,1964,1.73,4860
Cyprus,1965,1.98,5980
Cyprus,1966,2.12,6380
Cyprus,1967,2.31,7280
Cyprus,1968,2.71,7640
Cyprus,1969,2.76,8380
Cyprus,1970,2.78,8670
Cyprus,1971,3.04,9820
Cyprus,1972,3.83,10500
Cyprus,1973,3.95,10800
Czech Republic,1963,12.4,9570
Czech Republic,1964,12.8,9920
Czech Republic,1965,12.5,10200
Czech Republic,1966,12.4,10500
Czech Republic,1967,12.4,10900
Czech Republic,1968,12.9,11300
Czech Republic,1969,13.7,11500
Czech Republic,1970,15.7,11600
Czech Republic,1971,16.5,12400
Czech Republic,1972,16.5,13100
Czech Republic,1973,16.5,13800
Denmark,1963,8.69,18300
Denmark,1964,9.14,19900
Denmark,1965,9.31,20800
Denmark,1966,10.4,21300
Denmark,1967,10.2,21900
Denmark,1968,11,22800
Denmark,1969,12.1,24200
Denmark,1970,12.6,24600
Denmark,1971,11.5,25200
Denmark,1972,12,26500
Denmark,1973,11.8,27400
Djibouti,1963,0.656,4760
Djibouti,1964,0.784,4710
Djibouti,1965,1.05,4700
Djibouti,1966,1.13,4720
Djibouti,1967,0.67,4710
Djibouti,1968,0.862,4680
Djibouti,1969,0.563,4670
Djibouti,1970,0.873,5550
Djibouti,1971,0.953,5630
Djibouti,1972,1.06,5570
Djibouti,1973,0.943,5580
Dominica,1963,0.233,2450
Dominica,1964,0.229,2560
Dominica,1965,0.226,2190
Dominica,1966,0.221,2440
Dominica,1967,0.325,2470
Dominica,1968,0.319,2430
Dominica,1969,0.261,2640
Dominica,1970,0.361,2870
Dominica,1971,0.359,3070
Dominica,1972,0.358,3310
Dominica,1973,0.358,3610
Dominican Republic,1963,0.343,2760
Dominican Republic,1964,0.465,2880
Dominican Republic,1965,0.399,2470
Dominican Republic,1966,0.418,2750
Dominican Republic,1967,0.38,2780
Dominican Republic,1968,0.553,2740
Dominican Republic,1969,0.607,2980
Dominican Republic,1970,0.691,3230
Dominican Republic,1971,0.761,3520
Dominican Republic,1972,0.983,3890
Dominican Republic,1973,1.22,4290
Ecuador,1963,0.363,4360
Ecuador,1964,0.421,4560
Ecuador,1965,0.434,4870
Ecuador,1966,0.448,4880
Ecuador,1967,0.466,5010
Ecuador,1968,0.544,5150
Ecuador,1969,0.609,5300
Ecuador,1970,0.705,5530
Ecuador,1971,0.676,5710
Ecuador,1972,0.714,5910
Ecuador,1973,0.795,6480
Egypt,1963,0.746,2140
Egypt,1964,0.861,2250
Egypt,1965,0.908,2360
Egypt,1966,0.85,2340
Egypt,1967,0.613,2280
Egypt,1968,0.696,2300
Egypt,1969,0.584,2430
Egypt,1970,0.628,2560
Egypt,1971,0.652,2640
Egypt,1972,0.706,2670
Egypt,1973,0.645,2710
El Salvador,1963,0.373,3720
El Salvador,1964,0.396,3990
El Salvador,1965,0.325,4120
El Salvador,1966,0.396,4310
